star_rating,ipc-rating-star--maxRating,ipc-title-link-wrapper href,ipc-title__text,ipc-voting__label__text,ipc-voting__dot-separator,helpful,not_helpful,reviewer,ipc-link href,review_date,ipc-link href 2,main_review
10,/10,https://www.imdb.com/title/tt0068646/review/rw4059579/?ref_=tturv_11,"For Me, This Is The Definitive Film",Helpful,•,507,80,gogoschka-1,https://www.imdb.com/user/ur15794099/?ref_=tturv_usr_11_t,"Feb 11, 2018",https://www.imdb.com/title/tt0068646/review/rw4059579/?ref_=tturv_perm_11,"This isn't just a beautifully crafted gangster film. Or an outstanding family portrait, for that matter. An amazing period piece. A character study. A lesson in filmmaking and an inspiration to generations of actors, directors, screenwriters and producers. For me, this is more: this is the definitive film. 10 stars out of 10.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/"
1,/10,https://www.imdb.com/title/tt0068646/review/rw0123298/?ref_=tturv_12,MAJOR difference in opinion...,Helpful,•,164,383,MovieAlien,https://www.imdb.com/user/ur0158253/?ref_=tturv_usr_12_t,"Feb 16, 2002",https://www.imdb.com/title/tt0068646/review/rw0123298/?ref_=tturv_perm_12,
6,/10,https://www.imdb.com/title/tt0068646/review/rw0123507/?ref_=tturv_13,Count Me In The Minority,Helpful,•,289,248,sddavis63,https://www.imdb.com/user/ur0650255/?ref_=tturv_usr_13_t,"Nov 25, 2002",https://www.imdb.com/title/tt0068646/review/rw0123507/?ref_=tturv_perm_13,"First I have to say that it is very difficult to watch this movie for the first time (which I just did) and approach it with an open mind. The glowing reviews it gets everywhere (many of course calling it the best movie ever made) gives one extremely high expectations and the possibility of being easily disappointed. The many parodies of the movie also give it a cult status that makes one think one knows the story even if one has never seen it.I thought ""The Godfather"" was a good movie, but nothing more than that really. I personally wouldn't call it the greatest movie ever made; not even one of the greatest. It was good, worth watching once and I'm glad I've finally seen it, but nothing more.The portrayal of mob life in the post-war era seemed realistic enough, and the appropriate atmosphere was set. The opening scenes (revolving around Don Corleone's daughter's wedding) gave me mixed feelings. I thought the whole thing went on too long, but it did demonstrate that Corleone's ""business"" never ended - he was constantly meeting with various people looking for favours rather than being front and centre at the wedding. Brando, of course, won (and refused to accept) the Oscar for Best Actor for his portrayal of Corleone, but I wasn't actually taken with his performance. First, I really didn't think of him as the Lead Actor. Al Pacino (as Corleone's son Mike) was, I thought, far more important to the story and far more interesting to watch. Brando had - to me - an almost cartoonish aura around him. Over-rated in my view. But Pacino was excellent, and the character of Mike the most interesting in the movie, as he evolves from the returned war hero who wants nothing to do with the family ""business"" to the eventual ""Don.""It's not that I thought this was a bad movie. It was quite watchable and for the most part very interesting. I just think I've seen better.6/10"
10,/10,https://www.imdb.com/title/tt0068646/review/rw4756923/?ref_=tturv_14,"An offer so good, I couldn't refuse",Helpful,•,457,52,andrewburgereviews,https://www.imdb.com/user/ur86182727/?ref_=tturv_usr_14_t,"Apr 1, 2019",https://www.imdb.com/title/tt0068646/review/rw4756923/?ref_=tturv_perm_14,"It is now past 1 PM and I just finished watching Francis Ford Coppola's ""The Godfather"". I should probably go to bed. It's late and tomorrow I have to wake up a bit early. But not early enough to postpone writing these lines. Now that I have seen it three times, the opportunity of sharing my thoughts and refreshed insights are too much of a good offer to sit on. So, bear with me.This film works so well because it takes place in an underworld in which we are so embedded that we do not even observe it. Coppola puts us straight in the smack-dab center of what is, admittedly, a society made by criminals for criminals. It is also the reason why it's so welcoming. We are surrounded by its inhabitants--cold-blooded murderers, men who see crime like a 9 to 5 job masquerading as honorable men. And I do mean men. From the outside, we would only witness the horrifying, disturbing manifestations of their well-thought out actions.But it goes even deeper than that. It all revolves around the Corleone family led by Don Vito Corleone (Marlon Brando). He is the most honest of these men, sitting right on the edge. But for people like him, who do not fully embrace this world, it's not easy. He avoids conflict until it is absolutely necessary. He is a man defined by moral principles. There is a scene at the beginning, in which, during his daughter's wedding day, one of his associates, Luca Brasi (Lenny Montana) practices his speech that he is going to give to the Don when he meets him. The scene with these two is funny and almost adorable. I could not help but sympathize both of them only to realize that I am feeling warmth for two mobsters. Not to even mention that Lenny Montana was an actual mob hit-man and that he was actually nervous as he said that line.The more I watched the more I realized just how incredibly complex and ruthless this society is and how it has the power to corrupt anyone to come in contact with it. The best example is Corleone's youngest son, Michael (Al Pacino). He returns home for his sister's wedding as a war hero dressed the part with his long-time girlfriend, Kay Adams (Diane Keaton). At first, he avoids this underworld, but necessity, first-hand exposure and just its sheer devilish appealing nature draws him in. As we get further in the film, the change is shocking and every outsider who ever got close to him is tainted in one way or another. If they survive it, they are drawn in as well as we are as viewers.Inside, Coppola exposes the family to us fully, with a bold personal approach and we witness every discussion, every methodically calculated choice. Crime is done simply because it is the nature of their business, and we are put on a chair alongside them, so we easily relate. For us, they are the good guys, the rival families are the bad guys. This is the greatest feat this film managed to pull off--set apart good guys and bad guys in a world filled with bad guys.This is a film of unmatched subtlety. No other movie sustains itself as good. No other film is done with such precision, attention and completeness. There are many layers which I probably missed and maybe will never notice. But I felt them. What director Francis Ford Coppola and his partner in crime (poor choice of words, sorry) Mario Puzo did is nothing short of a timeless piece of reference cinema whose influence is not based on reinventing the wheel, but rather perfecting it to the absolute maximum.Most masterpieces are remembered for their historical contributions. ""Citizen Kane"" brought the biggest step-up to the art form, the same things did ""Gone With the Wind"" or ""2001: A Space Odyssey"". ""The Godfather"" is one of the few films that will be remembered simply because they are that good and I cannot possibly imagine a greater achievement."
10,/10,https://www.imdb.com/title/tt0068646/review/rw1414680/?ref_=tturv_15,This Movie Has Haunted My Life...,Helpful,•,368,133,Trevizolga,https://www.imdb.com/user/ur11305442/?ref_=tturv_usr_15_t,"Jul 9, 2006",https://www.imdb.com/title/tt0068646/review/rw1414680/?ref_=tturv_perm_15,"I love this movie and all of the GF movies. I see something new every time I have seen it (countless, truly). The story of tragedy and (little) comedy that exists in this film is easily understood by people all over the world. This film has been called an American story however I have met others who have seen this movie in other languages and they seem to have the same love and appreciation for it that I do. I love the characters and all of the different personalities that they represent not just in families but in society itself. It seems like the entire cast is part of every other movie that I love as well. The sounds, music, color and light in the film are just as much a part of the film as the people. This could be attributed to the method in which it was filmed. At many parts of the film I can still find myself feeling the emotions conveyed in the film. I never tire of appreciating this film. I thank God that FFC is an American treasure. We are fortunate to have him."
1,/10,https://www.imdb.com/title/tt0068646/review/rw0123275/?ref_=tturv_16,Completely un-redeeming in any way.  Garbage.,Helpful,•,153,346,setanta-,https://www.imdb.com/user/ur1299476/?ref_=tturv_usr_16_t,"Jan 18, 2002",https://www.imdb.com/title/tt0068646/review/rw0123275/?ref_=tturv_perm_16,"I remember distinctly the first time I saw ""The Godfather"". I was a child and it was being shown on broadcast television.  Granted, neither of theses are optimal conditions for rendering an informed opinion but I remember being struck with how unremarkable- in fact how boring I found the film.  I was particularly surprised by this, as there had been a great fanfare over the broadcast. I chalked this up to my own immaturity and thought no more of it.The second time I saw the film was in college.  My friend had a brother who was quite a film enthusiast and he, like many others, counted ""The Godfather"" as the finest film.  One evening my friend and I watched the film.  The viewing once again left me unimpressed.  I feigned an enthusiasm for the film that I did not feel, as it seemed the popular, and even the intellectual expectation.  Once again I associated my dislike for the movie with a failing in myself. I apparently did not appreciate a ""good movie"" when I saw one.Since that time I have seen many films, from many directors, from many countries, in many languages, and with varying budgets from independent offerings to mainstream Hollywood fare.  I certainly do not consider myself to be an expert but feel myself to be an informed member of an audience. Armed with my experience I recently viewed ""The Godfather"" again to expunge my previous failures and to gleefully join the ranks of Godfather sycophants.  Well, I think you know the outcome.  As they say in baseball, three strikes and you're out.I find the film to be completely un-redeeming in every way.  I do not have space to address the film systematically or technically so I will speak to my central grievance- the story is hollow.  There is no moral center.I do not demand that a movie have morality.  I do not demand that a film even have a point.  I can take a film at its face value for what it is.  A slapstick comedy is foolish and an action flick is mindless, I do not ask that they be a different movie- only that they meet the narrow definition to which they aspire.  The problem is that ""The Godfather"" aspires to be a great drama and that aspiration comes with high expectations.Gratuitous violence is expected in big-budget action flicks, amorality can be understood in the quiet desperation of an independent film's philosophy, and self-indulgence is to be expected in the over-the-top musical extravaganza.  However, violence, amorality, and self-indulgence in a film that portrays itself as mainstream drama or even tragedy are reprehensible. This is not art- it is base voyeurism at its worst.  We are standing in the bailey at New Castle or at the Coliseum watching with leering stares at the baseness and depravity of man. This film is not a criticism of man's foul nature, as in the above referenced independent film; it is a celebration of it.  Anyone who claims otherwise deludes himself.Thus conceived I can appreciate `The Godfather' as a film oddity, a curious victory of the popularity of evil men.  But to say that it is a great film is scandalous, and to say that it is the greatest film is blasphemous.  To say that the highest achievement of man in film is a celebration of cruelty, deception, and greed is a statement that many should reconsider.I find it interesting that many of those who claim ""The Godfather"" as their favorite film, or the best film of all time can count their viewings of the film on one hand. In fact, I myself (who thinks unfavorably of the film) have given the film more attention then many of the ""fans"" I know.  A friend of mine who professes to like the film recently returned the box-set DVD ""Godfather"" collection that he received for Christmas.  As he put it, he loved the film but when was he ever going to watch it?  That is faint praise indeed for the ""greatest film of all time"".I am sure there are those who genuinely enjoy the film, but you could say that about any movie.  I would advise those who fawn over this film so to ask themselves if their enthusiasm comes from within or from a modern mythology. ""The Godfather"" is a paper tiger."
10,/10,https://www.imdb.com/title/tt0068646/review/rw1440327/?ref_=tturv_17,A Masterpiece,Helpful,•,355,137,The-Other-Monkey,https://www.imdb.com/user/ur7154267/?ref_=tturv_usr_17_t,"Aug 6, 2006",https://www.imdb.com/title/tt0068646/review/rw1440327/?ref_=tturv_perm_17,"This must rank as the best film (along with part 2)of all time.An ensemble performance that has no weak spot.Particularly, John Cazale ( Fredo) and Richard Castellano ( Clemenza) give wonderfully understated performances. You just have to believe that Castellano WAS Clemenza, he brings a real touch to his role.John Cazale brings the troubled Fredo to life, and you can see the weak Fredo desperately trying to live up to the family reputation but knowing that he can never be what his father wants. The story of one man's reluctance to be drawn into the murky family business,and his gradual change through circumstance, paints a vivid picture of this violent period of US history.Do not miss this film!"
10,/10,https://www.imdb.com/title/tt0068646/review/rw1118627/?ref_=tturv_18,The world inside the underworld!,Helpful,•,319,153,vjeet_a,https://www.imdb.com/user/ur3920272/?ref_=tturv_usr_18_t,"Jul 4, 2005",https://www.imdb.com/title/tt0068646/review/rw1118627/?ref_=tturv_perm_18,"The godfather trilogy is an exclusive set of movies that will continue to live with humanity, every generation will see them to say, ""Oh that was 10 out of 10."" If you watch them you will know that the world that lives inside the underworld is same as the one we live in except that people in underworld are so smart, in fact smartness is the only thing that can keep them there. Don Vito Caroleone's early life shown in part-II is very well done to show the Don in making, how a kid who couldn't even tell his name went on becoming a underworld don who keep most senators, judges and lawyers in his pocket. Meeting of don with the so call five families are among most impressive scenes.A saga that goes on for 9 continuous hours takes you around various walks in life of Mike (Don's younger son who become Don later), his school days, love life, personal life, family life, business life, political life and religious life. How all of these different roles Mike plays in his life and how intertwined these are.I enjoyed watching these movies so much, I wish I had seen them much before then I did. Its amazing to see how the Part-III was made 18 years later the part-I was made and everything looks so continuous if watch them together.I need not say much! The Godfather father trilogy been around for a while and everyone knows that they are great set of movies, its just the matter of when you actually get to see them.Watch them! Kudos to Francis Ford Coppola! -Vishy"
1,/10,https://www.imdb.com/title/tt0068646/review/rw0123534/?ref_=tturv_19,One of those films everyone loves but no-one wants to watch.,Helpful,•,137,311,sgrizzle,https://www.imdb.com/user/ur2166095/?ref_=tturv_usr_19_t,"Jan 18, 2003",https://www.imdb.com/title/tt0068646/review/rw0123534/?ref_=tturv_perm_19,"I follow recommendations on this site highly. I rented this movie and wanted my money back. Ever been to one of those parties with distant relatives where you don't know anyone there and just sit in the corner waiting for it to end?  If so, you've seen 90% of this movie. Throw in a few good scenes that happen so far apart, you forget the last one by the time you see the next one. Might be worth watching once just to say you have, but you'll probably never watch it again. Definitely not ""best movie ever material."""
1,/10,https://www.imdb.com/title/tt0068646/review/rw1292892/?ref_=tturv_20,Bait and Switch is the Name of this Game,Helpful,•,123,277,mbuchwal,https://www.imdb.com/user/ur4720785/?ref_=tturv_usr_20_t,"Feb 15, 2006",https://www.imdb.com/title/tt0068646/review/rw1292892/?ref_=tturv_perm_20,"Does ""Godfather"" romanticize crime and criminals? Yes, it does. Take, for instance, the Godfather's name ""Corleone"" which translates as ""Lionhearted,"" suggesting that the heroes are to be compared to Richard the Lionhearted, legendary chivalrous hero of the Crusades and friend to Robin Hood. There can be no doubt that author Mario Puzo and director Francis Ford Coppola have made romantic idols of the Corleones, as the film gilds them with mystery, honor and gallantry. But of what Holy Crusade are the Corleones the leaders? Seemingly a war for survival against vicious enemies who would destroy their gang. But why should we care what happens to a bunch of evil criminals? ""Godfather"" is just as much interesting for what it fails to show the audience as what it does show. The film makers wrongly assume that the audience is sophisticated enough to infer the kind of lurid but educational scene that made such a great success of earlier gangster films, nitty gritty illustrations of the inside workings of organized crime: loan sharking, extortion and vice. ""Godfather"" for the most part ignores this subject matter, the everyday business of crime, in favor of what should be only the end part of its story: a war between gangs over control of the rackets. The drama is essentially without motivation. The movie is simply not interested in showing us much of the dirty business that is the reason for the war. That is because the heroes would seem much less chivalrous if their criminal enterprises were shown in any depth or with any real understanding. For most of its length, the movie plays as a revenge tragedy in which the gallant protagonists could be members of any great family (whether criminal or not) protecting their cherished honor.Why did the film makers deliberately sanitize the criminal aspect of the Corleone family? Are they apologists for crime? I think they are. One confidence game employed by the film makers, which is also familiar among the annals of organized crime leaders, is a variation on the trick called ""bait and switch."" We expect a portrait of a ruthless and immoral criminal, instead we are made to believe in the essential moral rightness of Don Corleone when he condemns as a contemptible enemy the kind of criminal who trades in narcotics. In other words, we are lured into the theater with the promise of a true to life depiction of the actions of a bad guy, and then the film makers slyly pull a fast one and show us a good guy instead! (We are persuaded to ignore the fact that the Godfather is an extortionist and pimp  even worse we are asked to believe that extortion and pimping are not so bad, especially if practiced by an honorable guy like Don Corleone, who, whatever his failings, is much too decent to trade in narcotics.) This jiggery pokery was so effective that around the time the movie and its sequel came out an ivy league educated friend of mine on his way to a brilliant career on Wall Street bitterly denounced a critic of ""Godfather"" for making the claim that Don Corleone was not entitled to be regarded as a great hero like President Franklin Delano Roosevelt, General Douglas MacArthur or Doctor Albert Schweitzer, who had received similarly adulatory treatment in film. My friend, having seen both Godfathers, was convinced that a Mafia leader might be just as honorable as the heroic portrait the movies presented.So, I feel some need on this occasion to remind the public of what the Mafia does, even when they allegedly refuse to get involved in narcotics sales. The Mafia is mainly in the business of Vice. It feeds off the weaknesses of a mass of little people who are corruptible, who are vulnerable to the appeal of easy sex, cheap thrills, quick money and quick fixes of their problems. These little people pay for their vices all their lives, much more than they can afford to pay, and end up ruined for the greater glory of the Mafia. Most racket crime is not glorious; it is petty and mean and easily committed by anyone who has less courage or daring than the average person. But it's easy to understand why the film makers left this out of the movie. It would be kind of absurd to call a scuzzy dirtbag by the name ""Lionheart."""
1,/10,https://www.imdb.com/title/tt0068646/review/rw1456986/?ref_=tturv_21,What is so great about it?,Helpful,•,119,264,maliceinwonderland88,https://www.imdb.com/user/ur8636828/?ref_=tturv_usr_21_t,"Aug 24, 2006",https://www.imdb.com/title/tt0068646/review/rw1456986/?ref_=tturv_perm_21,"This movie is ridiculously overrated. It is merely a overly dramatized celluloid interpretation of life involved with the Italian Mafia. Yes, organized crime is a problem, but this movie is NOT all that amazing. There are entirely too many references to it in other movies, too many spoofs and too many quotes. It's a bad movie. Let it go. There is no real plot line and the bad accents were enough to give me a headache. This movie is mind numbingly boring. It feels as though I lose brain cells every time I am forced to watch this painfully shallow film. Most films following along a similar premise are horribly dull. Why does everyone rave about movies like this and Scarface? They are awful, overly exaggerated and generally badly constructed cinematic failures. A decent script and plot line were substituted for gratuitous blood, gore and explosions. A good movie starts with a good story and a good script, this lacks both. Every aspect of this movie was horribly boring. It does NOT deserve to be named ""The Best Movie of All Time."""
10,/10,https://www.imdb.com/title/tt0068646/review/rw1897116/?ref_=tturv_22,An Iconic Film,Helpful,•,277,58,alexkolokotronis,https://www.imdb.com/user/ur16117882/?ref_=tturv_usr_22_t,"Jun 21, 2008",https://www.imdb.com/title/tt0068646/review/rw1897116/?ref_=tturv_perm_22,
8,/10,https://www.imdb.com/title/tt0068646/review/rw0123321/?ref_=tturv_23,Slightly overrated,Helpful,•,184,145,ericjg623,https://www.imdb.com/user/ur1117555/?ref_=tturv_usr_23_t,"Apr 4, 2002",https://www.imdb.com/title/tt0068646/review/rw0123321/?ref_=tturv_perm_23,"One thing that's a bit annoying when seeing `The Godfather' is the sense that, as a viewer, you feel you are required to bow down before this film and worship it as movie perfection, or else reveal yourself to be a person of no taste. Well, I can definitely acknowledge that this is a very good movie, but not necessarily great, nor is it on my personal favorites list.
For starters, while this definitely gives you some great characters and atmosphere, there's really nothing in this movie that you couldn't get from reading the book. In fact, the strength of this film comes from the way the director and actors faithfully bring the novel to life.What's best? No question - the acting. Judged on that scale alone, it gets a 10. I cannot disagree with those who state that this combines the best acting performances in American film history. The directing and scriptwriting are also very good, worthy of at least a 9.
What's not so good? The pacing. As others have noted, this film can be boring at times. Most notably, at least for me, was the time spent showing Mike in Sicily after he shot the cop and the Turk. Other than getting married, it doesn't really show him doing much of anything, nor does it really contribute much to the story. In contrast, the book made this particular sub-plot far more interesting and relevant.And that, at heart, is my problem. I've seen the movie and I've read the book. And I far more enjoyed the latter. The book gives all sorts of details the movie skips. For example, in the film, Al Neri is just a guy dressed up as a cop who performs as one of Mike's hit men. In the book, we learn how he went from being a good cop with a bad temper to taking over the role once held by Luca Brasi (another character who is developed far more fully in the book).So there you have it. On the one hand, you have to intellectually acknowledge the great talent displayed in the making of this film, but on the other, I must admit it just isn't very satisfying emotionally. These characters seem cold and distant, and I never really cared much for any of them. In that respect, I much more preferred ""Goodfellas"". The acting wasn't as good, but the characters were far more engaging and the pacing much more lively. In short, `The Godfather' is sort of like a great, but somber, piece of music, something you can admire but not dance to.8/10"
1,/10,https://www.imdb.com/title/tt0068646/review/rw0123284/?ref_=tturv_24,The most overrated movie of all time.,Helpful,•,92,203,Movies8586,https://www.imdb.com/user/ur1531826/?ref_=tturv_usr_24_t,"Jan 25, 2002",https://www.imdb.com/title/tt0068646/review/rw0123284/?ref_=tturv_perm_24,"Let me just start by saying that I am 50% Italian. I have nothing against Mafia movies. In fact, I have nothing against ANY type of movie. But, to say that this is the best movie of all time is simply insane.
I saw absolutely nothing special. I kind of enjoyed the performances of Al Pacino, Marlon Brando, and James Caan... but besides that, there is not one really exceptional feature in sight. And the fact that it is one hour too long only brought down my enjoyment. It's not the worst film of all time... but not the best either."
1,/10,https://www.imdb.com/title/tt0068646/review/rw0123576/?ref_=tturv_25,Most overrated film of all-time,Helpful,•,87,193,bamatommy,https://www.imdb.com/user/ur0962048/?ref_=tturv_usr_25_t,"May 21, 2003",https://www.imdb.com/title/tt0068646/review/rw0123576/?ref_=tturv_perm_25,"This movie continues to be praised, but when I rented it I only made it through 45 minutes before I stopped the video.  There aren't many movies that are so bad I don't watch the whole thing, but ""The Godfather"" is that bad.  I don't care how much other people may like it.  I still say it sucks,sucks,sucks,sucks,sucks,sucks,sucks..."
3,/10,https://www.imdb.com/title/tt0068646/review/rw1859432/?ref_=tturv_26,I can honestly say that it's overrated,Helpful,•,111,168,stand_out2,https://www.imdb.com/user/ur7299036/?ref_=tturv_usr_26_t,"Apr 18, 2008",https://www.imdb.com/title/tt0068646/review/rw1859432/?ref_=tturv_perm_26,
