"ipc-rating-star--rating","ipc-rating-star--maxRating","ipc-title-link-wrapper href","ipc-title__text","ipc-btn__text","ipc-voting__label__text","ipc-voting__dot-separator","ipc-voting__label__count","ipc-voting__label__count 2","ipc-link","ipc-link href","ipc-inline-list__item","ipc-link href 2","ipc-html-content-inner-div"
"9","/10","https://www.imdb.com/title/tt0167260/review/rw0583105/?ref_=tturv_11","A monumental film","","Helpful","•","344","91","Chris_Docker","https://www.imdb.com/user/ur0064493/?ref_=tturv_usr_11_t","Dec 17, 2003","https://www.imdb.com/title/tt0167260/review/rw0583105/?ref_=tturv_perm_11","Feeling weary and battle-worn, I have just staggered out of the cinema after three and a half hours of special effects creatures fighting other special effects creatures. I had taken refreshments but barely touched them - probably because the film I had watched is one of the most mesmerising, evocative, inspiring, and awesome I have witnessed of any big adventure epic. Not to mention superb ensemble acting, moods that shift effortlessly between mediaeval battles of colossal proportions and convincing bloodshed, beauty and wonderment, fantastic natural and artificial landscapes and cityscapes, touches of humour, well-paced dramatic tension, and human bonding that is moving enough to just let you dry your eyes as the unassuming credits flash by.Return of the King is the greatest of the Tolkien trilogy by New Zealand director Peter Jackson. Although I've seen the other two and read the book, I felt it would also stand alone well enough for people who hadn't done either.The storytelling is much more professional that the first one - which maybe laboured to introduce so much information - or the second one - which has little let up from the tension of long battle scenes. In Return of the King, there is an emotional sting at the start, as we watch the transformation of Gollum from warm, fun-loving guy to murderous, mutated wretch. The movie then moves deftly between different segments of the story - the sadness of the lovely soft-focus Liv Tyler as fated Arwen whose travails and woman's love succeeds in having the Sword that was Broken mended, the comradeship of Sam and Frodo (Sean Astin & Elijah Wood) that is tested to the limits, the strong commanding presence of Gandalf (Ian McKellen) who keeps an eye on things whilst turning in an Oscar-worthy performance, the ingenious and very varied battle scenes, and the mythical cities of that rise out of the screen and provide key plot elements.This is a fairy story of human endeavour, the defeating of power cliques and the triumph of the human spirit that could almost be compared to Wagner's Gotterdammerung. It is a fairy story without any sugary sweetness, a fairy story the likes of which hasn't been told so well before, and is even unlikely to be done so well in the future. The haunting scream of the Nasgul stays with you, the physical attractions are not airbrushed, and the battles are about as far from pantomime characters waving wooden swords as you can get. The ingenious monsters keep you on the edge of your seat. The whole narrative maintains the spirit (if not archival, detailed accuracy) of the original and makes you want to read the book (or read the book again!)The worst I can say about it is that it is maybe a tad long - but not that you'd notice . . ."
"10","/10","https://www.imdb.com/title/tt0167260/review/rw5045294/?ref_=tturv_12","A Timeless Classic","","Helpful","•","352","15","venividiamavi-v","https://www.imdb.com/user/ur91236462/?ref_=tturv_usr_12_t","Aug 7, 2019","https://www.imdb.com/title/tt0167260/review/rw5045294/?ref_=tturv_perm_12","This movie, and trilogy in general, is a cinematic (and literary) masterpiece, and simply refuses to get old. I love this movie so much it's become a tradition to watch the Lord of the Rings series at least once a year! It's just as good as Christmas"
"","","https://www.imdb.com/title/tt0167260/review/rw0998150/?ref_=tturv_13","Summary: Film and extended DVD versions","Spoiler","Helpful","•","270","89","harry_tk_yung","https://www.imdb.com/user/ur1606763/?ref_=tturv_usr_13_t","Jan 13, 2005","https://www.imdb.com/title/tt0167260/review/rw0998150/?ref_=tturv_perm_13",""
"1","/10","https://www.imdb.com/title/tt0167260/review/rw0984999/?ref_=tturv_14","Worst possible","Spoiler","Helpful","•","88","250","fdarcy","https://www.imdb.com/user/ur4446058/?ref_=tturv_usr_14_t","Dec 25, 2004","https://www.imdb.com/title/tt0167260/review/rw0984999/?ref_=tturv_perm_14",""
"1","/10","https://www.imdb.com/title/tt0167260/review/rw0582888/?ref_=tturv_15","Major problems with character development (spoilers)","Spoiler","Helpful","•","81","228","linnet100","https://www.imdb.com/user/ur2955288/?ref_=tturv_usr_15_t","Dec 30, 2003","https://www.imdb.com/title/tt0167260/review/rw0582888/?ref_=tturv_perm_15",""
"10","/10","https://www.imdb.com/title/tt0167260/review/rw1527346/?ref_=tturv_16","All Good Things come to an End!","","Helpful","•","276","18","OttoVonB","https://www.imdb.com/user/ur1559834/?ref_=tturv_usr_16_t","Nov 22, 2006","https://www.imdb.com/title/tt0167260/review/rw1527346/?ref_=tturv_perm_16","All the threads of Tolkien's magnum opus come together in the most elegant of fashions in the final part of Peter Jackson's adaptation. Humanity makes a last stand at Minas Tirith, the Hobbits travel through Mordor, our heroes try to by time for Frodo to complete his mission and the Evil Sauron gets tired of the whole game and lashes out with all his might and fury.""Return of the King"" is 4 hours of payoff, a third act in a gigantic epic rather than a mere film of its own. As such it is intensely dramatic and dynamic and you can very much sense that though peter Jackson spared no effort on the previous episodes, this is clearly his favorite. the film floats by at a thunderous pace, taking us through unforgettable moments such as the battle of Minas Tirith itself, a marvel of seamless animation and epic film-making, it demands to be seen, as it has too many jaw-dropping moments to choose from. The quieter character moments keep gaining in potency and the full weight of the stakes and their heartbreaking consequences is never in doubt.The cast of these films have played their parts to perfection and again Jackson deserves overall credit for choosing actors that so perfectly match Tlolkien's creations: Ian McKellen and Christopher Lee are their own usually excellent selves, and the hobbits remain endearing, but of all the uniformly great cast, the true standouts are Viggo Mortensen and David Wenham as the tragic Faramir, whose relationship with his brutish father is the most traumatic of the film. Jackson pushes them even further by having them sing at a few key moments (a practice employed to powerful effect by Tolkien in the books), a daring undertaking that works wonders. And though he may offer one ending too many, he does have the decency to show off each surviving character with the appropriate screen time and respect.Now that the trilogy is complete, it can be viewed as one big film, as it should be. After 8 years, Jackson has done the impossible: he has taken Tolkien's huge legend and made films that stand on their own and have revolutionized film-making, setting the new benchmark for cinematic epics. Changes have been made to Tolkien's source novels, but they make for better, more fluid films, more faithful in spirit to Tolkien's myth than anyone had the right to hope for.A masterpiece, whether as part of a bigger whole or on its own. Well deserving of all the high praise thrown at it, and then some..."
"1","/10","https://www.imdb.com/title/tt0167260/review/rw0584432/?ref_=tturv_17","Can you say ""Overkill?""","","Helpful","•","73","203","jupiter2-6","https://www.imdb.com/user/ur0445307/?ref_=tturv_usr_17_t","Jun 7, 2004","https://www.imdb.com/title/tt0167260/review/rw0584432/?ref_=tturv_perm_17","There's nothing deep or important going on here, so  a critique of this film is almost unnecessary. What passes for quality film making is nothing more than an overproduced, loud, stunning ""Imax"" experiment in eye-candy that masks, once again, a slowly moving, thin story line. Obviously, the members of SAG have dispensed with background checks on film editors. There's enough slow-motion footage here to circumnavigate the globe twice. Many people will be amazed by the neverending, in-your-face action sequences but for those who still pine to see the actors perform also, you'd better search elsewhere. It's like trying to read the Latin version of ""War And Peace"" while simultaneously being pulverized inside a blender. And if having way too many computerized fight scenes forced down your throat wasn't enough, just wait the full ninety hours for the saccharine-glazed, overlit endings. And there are at least 5 of them. For a while, I was expectin Obi Wan Kenobi's ghost to show up and smile goodbye. And Cate Blanchett never looked so vapid. It's brass, tacky, loud, long, obvious schlock and thus hugely popular. Beautiful looking rarely translates to quality in content and this is a prime example. Giving so many awards to this fillibuster is just a waste of gold-plating."
"1","/10","https://www.imdb.com/title/tt0167260/review/rw0583853/?ref_=tturv_18","Weakest of the Three","Spoiler","Helpful","•","69","191","imdb3-3","https://www.imdb.com/user/ur2420336/?ref_=tturv_usr_18_t","Dec 20, 2003","https://www.imdb.com/title/tt0167260/review/rw0583853/?ref_=tturv_perm_18",""
"8","/10","https://www.imdb.com/title/tt0167260/review/rw0583416/?ref_=tturv_19","The end of the Journey","","Helpful","•","136","116","agmoldham","https://www.imdb.com/user/ur2449095/?ref_=tturv_usr_19_t","Dec 18, 2003","https://www.imdb.com/title/tt0167260/review/rw0583416/?ref_=tturv_perm_19","The journey comes to an end. For me the final installment ensures that the Lord of the Rings replaces Star Wars as my favourite fantasy movie franchise. In time the film will look dated, but the story and characterisation far surpass that of Star Wars. The Empire Strikes Back is the only one of the Star Wars films that is in the same league as LOR.As with Two Towers, the Return of the King doesn't recap the story so far, so don't even think of seeing this film if you're unfamiliar with the story. It starts with a flashback to Smeagol and means Andy Serkis gets to appear on the finished print. Frodo, Sam and Smeagol then continue on their quest, whilst the remaining members of the fellowship are briefly reunited at Isengard before taking different paths to Minas Tirith.The action is unrelenting and most people will not notice the running time is over 3 hours. As with the previous films the combination of sets, models and cgi brings middle earth to life.I suspect quite a few of the performers will be in with a chance of Oscar recognition. Miranda Otto is the stand out performer and is outstanding as Eowyn and surely deserves the Best Supporting Actress honour. I'm sure that Viggo Mortensen, Ian McKellen, Elijah Wood, Sean Astin, and Orlando Bloom will all have their supporters for acting honours and rightly so, as they all put in fine performances. I'm not sure whether Andy Serkis is elligable, but I suspect the success of Smeagol/Gollum owes as much to him as the animators. Bernhard Hill should also be in with a shout for recognition for his performance as King Theoden. My guess is that it'll miss out on the acting awards with the exception of Miranda Otto. It's absolutely certain to take Best Director, Best Picture and a string of technical awards though. My guess is that it will be nominated for about 12 categories and take 8 gongs.Return of the King isn't flawless however. Saruman was cut entirely from the theatrical release of the film. We therefore missed out on the final face off between Gandalf and Saruman at Isengard. This was certainly filmed and will no doubt be on the extended edition. When the Hobbits return to the Shire it looks remarkably like when they left. No sign that Saruman has arrived back before them and taken over. In the book Merry, Pippin, Sam and Frodo help rally the rest of the Hobbits to retake the Shire, but at some cost to both the hobbits and the environment. Merry, Pippin and Sam become heros to the rest of the hobbits who are largely unaware of Frodo's adventure and exploits. I'm not sure if any of this was shot, but it would be a welcome addition to the extended addition. Personally I would have followed Tolkien and got rid of 7 minutes of Arwen footage and kept Saruman in. Bearing in mind Christopher Lee's passion for the trilogy it is also sad to see him removed from the final episode. I'm quite sure Peter Jackson must have had a few sleepless nights over that decision.If Saruman's exclusion was the biggest blunder of the film, Gimli's consignment to comic interlude was also a bit disappointing. I'm not against a bit of light hearted relief every so often, especially in such a long film, but it seemed that every time Gimli appeared on screen it was for light entertainment. The ""That still only counts as one"" line to Legolas was very funny though.Despite these gripes Peter Jackson can certainly be very proud of the Lord of the Rings. Very few people thought it possible to do justice to the book. He has crafted a film that many people will enjoy for many years."
"1","/10","https://www.imdb.com/title/tt0167260/review/rw0582511/?ref_=tturv_20","Great views, few thoughts","","Helpful","•","65","178","svetaaniston","https://www.imdb.com/user/ur1619746/?ref_=tturv_usr_20_t","Dec 26, 2003","https://www.imdb.com/title/tt0167260/review/rw0582511/?ref_=tturv_perm_20","Well, this movie is not for people who like subtlety. Not for people who like good dialogues. Not for people who like interesting characters. It is for people who love action, action, and nothing much else. For people who love pompous battles on big screens, hollow words, rhetorics of of the kind great dictators are so fond of, big words like 'today mankind will not fail'. Sure, I can see why people like this movie. They are just easily pleased. They see a big battle-scene and they're happy. They see orcs, orcs, and still more orcs, and they think, 'wow, these orcs must be metaphors for all the bad bad people that are out there on this evil evil planet. How deep! What geniuses are Tolkien and Peter Jackson!' They see a helicopter-view of a battlefield, great graphics of a fictional city, a realistic monster-spider, and they're happy. They see good triumph over evil and they think that's the way it should be, because... well,..., uhm... because it's different from real life I guess? It gives them... uhm ... hope? It must be nice to not see that cheap emotions, the flat characters, some of the most stereotyped dialogues ever written in the history of film.It must be great to be able to love this movie!"
